Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Time Case Closed
10809,2021-03-26,2021-03-26,22:37,Delhi,584,VEHICLE - STOLEN,13,M,Poison,Violent Crime,17,Yes,2021-06-05,19:00
10810,2021-03-28,2021-03-26,22:59,Kalyan,296,FRAUD,43,M,Poison,Other Crime,8,Yes,2021-04-20,13:00
10811,2021-03-27,2021-03-26,09:58,Ahmedabad,331,HOMICIDE,11,M,None,Other Crime,14,No,,
10812,2021-03-27,2021-03-26,10:32,Visakhapatnam,113,FRAUD,68,F,Poison,Other Crime,1,Yes,2021-06-08,22:00
10813,2021-03-27,2021-03-26,05:01,Hyderabad,532,COUNTERFEITING,44,F,None,Other Crime,9,Yes,2021-06-10,22:00
10814,2021-03-27,2021-03-26,16:44,Lucknow,120,VEHICLE - STOLEN,54,F,None,Violent Crime,14,Yes,2021-04-26,06:00
10815,2021-03-27,2021-03-26,23:19,Visakhapatnam,328,FRAUD,49,F,None,Other Crime,1,Yes,2021-06-09,19:00
10816,2021-03-29,2021-03-26,04:16,Delhi,364,SEXUAL ASSAULT,66,F,Explosives,Violent Crime,14,No,,
10817,2021-03-29,2021-03-26,14:51,Ghaziabad,359,IDENTITY THEFT,17,F,Poison,Violent Crime,2,No,,
10818,2021-03-28,2021-03-26,08:51,Varanasi,566,DOMESTIC VIOLENCE,52,F,Explosives,Violent Crime,19,Yes,2021-04-18,10:00
10819,2021-03-27,2021-03-26,19:20,Chennai,566,FIREARM OFFENSE,28,F,Blunt Object,Fire Accident,12,No,,
10820,2021-03-29,2021-03-26,12:19,Mumbai,211,CYBERCRIME,56,F,Knife,Other Crime,15,No,,
10821,2021-03-28,2021-03-26,23:20,Delhi,197,IDENTITY THEFT,66,F,Firearm,Violent Crime,8,Yes,2021-05-13,12:00
10822,2021-03-27,2021-03-26,15:02,Lucknow,297,PUBLIC INTOXICATION,75,F,Poison,Other Crime,18,Yes,2021-04-16,23:00
10823,2021-03-28,2021-03-26,12:58,Delhi,112,KIDNAPPING,52,M,Knife,Other Crime,13,Yes,2021-05-07,19:00
10824,2021-03-28,2021-03-26,02:09,Mumbai,372,ROBBERY,48,F,None,Violent Crime,10,Yes,2021-06-24,22:00
10825,2021-03-28,2021-03-27,09:07,Delhi,541,ILLEGAL POSSESSION,48,F,Firearm,Other Crime,8,No,,
10826,2021-03-29,2021-03-27,05:02,Delhi,488,SHOPLIFTING,41,F,Firearm,Other Crime,11,No,,
10827,2021-03-27,2021-03-27,10:34,Kolkata,297,ARSON,15,M,Firearm,Fire Accident,6,Yes,2021-05-08,21:00
10828,2021-03-29,2021-03-27,21:08,Thane,364,FRAUD,14,F,Poison,Other Crime,3,No,,
10829,2021-03-27,2021-03-27,21:48,Jaipur,536,SEXUAL ASSAULT,46,F,Firearm,Violent Crime,1,No,,
10830,2021-03-29,2021-03-27,20:26,Jaipur,391,SHOPLIFTING,75,M,Explosives,Other Crime,13,Yes,2021-04-08,22:00
10831,2021-03-28,2021-03-27,00:59,Delhi,527,COUNTERFEITING,42,F,Explosives,Other Crime,19,No,,
10832,2021-03-28,2021-03-27,20:50,Mumbai,358,FIREARM OFFENSE,40,M,None,Fire Accident,19,No,,
10833,2021-03-28,2021-03-27,23:05,Chennai,238,VANDALISM,57,F,Knife,Other Crime,7,No,,
10834,2021-03-29,2021-03-27,21:32,Kalyan,171,ASSAULT,73,F,Blunt Object,Violent Crime,13,Yes,2021-04-21,04:00
10835,2021-03-28,2021-03-27,05:26,Faridabad,345,TRAFFIC VIOLATION,10,F,Explosives,Traffic Fatality,12,Yes,2021-04-21,12:00
10836,2021-03-28,2021-03-27,03:33,Bhopal,285,IDENTITY THEFT,42,F,Knife,Violent Crime,12,Yes,2021-05-17,01:00
10837,2021-03-27,2021-03-27,21:35,Ahmedabad,400,PUBLIC INTOXICATION,76,F,Firearm,Other Crime,1,No,,
10838,2021-03-29,2021-03-27,09:36,Mumbai,501,HOMICIDE,50,F,Knife,Other Crime,14,No,,
10839,2021-03-30,2021-03-27,08:24,Nashik,167,PUBLIC INTOXICATION,53,F,Knife,Other Crime,8,Yes,2021-04-28,13:00
10840,2021-03-28,2021-03-27,16:11,Hyderabad,303,FRAUD,72,F,Other,Other Crime,8,No,,
10841,2021-03-28,2021-03-27,11:32,Visakhapatnam,417,HOMICIDE,42,F,Poison,Other Crime,1,No,,
10842,2021-03-30,2021-03-27,10:58,Lucknow,554,SEXUAL ASSAULT,66,M,Blunt Object,Violent Crime,8,No,,
10843,2021-03-28,2021-03-27,00:49,Chennai,261,SEXUAL ASSAULT,11,F,Knife,Violent Crime,5,No,,
10844,2021-03-28,2021-03-27,07:16,Ghaziabad,292,FRAUD,78,F,Knife,Other Crime,14,No,,
10845,2021-03-30,2021-03-27,23:16,Delhi,228,TRAFFIC VIOLATION,20,M,Firearm,Traffic Fatality,17,No,,
10846,2021-03-29,2021-03-27,14:22,Ludhiana,504,IDENTITY THEFT,20,F,Explosives,Violent Crime,19,Yes,2021-04-05,13:00
10847,2021-03-29,2021-03-27,09:38,Delhi,332,ARSON,46,F,Knife,Fire Accident,17,Yes,2021-06-14,15:00
10848,2021-03-30,2021-03-27,11:37,Delhi,305,ROBBERY,41,F,Blunt Object,Violent Crime,10,No,,
10849,2021-03-28,2021-03-28,00:30,Visakhapatnam,321,TRAFFIC VIOLATION,29,F,None,Traffic Fatality,2,Yes,2021-04-22,01:00
10850,2021-03-29,2021-03-28,10:23,Kolkata,182,COUNTERFEITING,37,F,Firearm,Other Crime,4,Yes,2021-04-17,22:00
10851,2021-03-29,2021-03-28,06:01,Kolkata,152,SHOPLIFTING,66,F,None,Other Crime,16,No,,
10852,2021-03-30,2021-03-28,15:53,Kanpur,124,VEHICLE - STOLEN,63,F,Blunt Object,Violent Crime,8,No,,
10853,2021-03-29,2021-03-28,15:56,Jaipur,362,DOMESTIC VIOLENCE,18,M,None,Violent Crime,5,Yes,2021-04-13,04:00
10854,2021-03-29,2021-03-28,07:05,Pune,308,ILLEGAL POSSESSION,64,M,Blunt Object,Other Crime,19,No,,
10855,2021-03-29,2021-03-28,03:49,Delhi,159,CYBERCRIME,61,F,Other,Other Crime,10,Yes,2021-05-08,19:00
10856,2021-03-29,2021-03-28,04:26,Ludhiana,110,HOMICIDE,35,F,Blunt Object,Other Crime,19,No,,
10857,2021-03-29,2021-03-28,09:52,Ghaziabad,264,IDENTITY THEFT,62,F,Firearm,Violent Crime,6,No,,
10858,2021-03-28,2021-03-28,15:01,Mumbai,181,HOMICIDE,55,M,None,Other Crime,19,No,,
10859,2021-03-28,2021-03-28,11:31,Bangalore,109,EXTORTION,64,F,None,Other Crime,5,Yes,2021-04-26,14:00
10860,2021-03-29,2021-03-28,04:39,Delhi,197,IDENTITY THEFT,47,F,Blunt Object,Violent Crime,3,Yes,2021-05-27,21:00
10861,2021-03-31,2021-03-28,21:58,Indore,138,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,19,Yes,2021-04-12,03:00
10862,2021-03-29,2021-03-28,06:55,Pune,507,DOMESTIC VIOLENCE,45,F,Knife,Violent Crime,16,No,,
10863,2021-03-31,2021-03-28,21:39,Ahmedabad,314,VANDALISM,29,F,Poison,Other Crime,4,Yes,2021-06-02,11:00
10864,2021-03-31,2021-03-28,10:40,Visakhapatnam,565,DOMESTIC VIOLENCE,61,M,Poison,Violent Crime,8,No,,
10865,2021-03-30,2021-03-28,20:37,Pune,587,BURGLARY,32,F,None,Other Crime,14,No,,
10866,2021-03-29,2021-03-28,07:19,Ghaziabad,142,ASSAULT,21,M,Poison,Violent Crime,3,No,,
10867,2021-03-30,2021-03-28,18:18,Delhi,317,VANDALISM,34,M,Blunt Object,Other Crime,14,No,,
10868,2021-03-29,2021-03-28,04:22,Hyderabad,513,CYBERCRIME,55,F,Other,Other Crime,8,Yes,2021-05-16,23:00
10869,2021-03-31,2021-03-28,06:28,Ahmedabad,298,ROBBERY,64,F,Explosives,Violent Crime,3,No,,
10870,2021-03-29,2021-03-28,08:06,Bangalore,217,BURGLARY,51,M,Other,Other Crime,5,No,,
10871,2021-03-30,2021-03-28,01:20,Delhi,329,SEXUAL ASSAULT,52,F,Blunt Object,Violent Crime,2,Yes,2021-10-20,20:00
10872,2021-03-29,2021-03-28,18:26,Hyderabad,331,FIREARM OFFENSE,39,F,Knife,Fire Accident,14,No,,
10873,2021-03-30,2021-03-29,00:29,Mumbai,573,FIREARM OFFENSE,17,F,None,Fire Accident,12,Yes,2021-04-17,18:00
10874,2021-03-31,2021-03-29,06:04,Lucknow,196,ILLEGAL POSSESSION,75,M,Poison,Other Crime,3,Yes,2021-05-25,07:00
10875,2021-03-29,2021-03-29,05:14,Visakhapatnam,216,BURGLARY,25,M,None,Other Crime,2,Yes,2021-06-10,07:00
10876,2021-03-31,2021-03-29,11:42,Mumbai,312,TRAFFIC VIOLATION,35,F,None,Traffic Fatality,16,Yes,2021-04-07,00:00
10877,2021-03-29,2021-03-29,04:27,Pune,574,FIREARM OFFENSE,51,F,Firearm,Fire Accident,17,Yes,2021-06-24,14:00
10878,2021-03-31,2021-03-29,07:51,Mumbai,290,SHOPLIFTING,26,F,Other,Other Crime,10,No,,
10879,2021-03-30,2021-03-29,18:22,Surat,183,PUBLIC INTOXICATION,15,F,Knife,Other Crime,3,Yes,2021-04-08,21:00
10880,2021-03-29,2021-03-29,17:18,Indore,544,SEXUAL ASSAULT,43,F,Knife,Violent Crime,19,Yes,2022-06-19,22:00
10881,2021-03-29,2021-03-29,19:28,Delhi,511,KIDNAPPING,19,M,Knife,Other Crime,8,No,,
10882,2021-03-31,2021-03-29,10:09,Jaipur,289,CYBERCRIME,76,F,Blunt Object,Other Crime,11,No,,
10883,2021-03-29,2021-03-29,18:44,Ghaziabad,579,COUNTERFEITING,20,F,Blunt Object,Other Crime,11,Yes,2021-06-12,18:00
10884,2021-03-31,2021-03-29,06:28,Hyderabad,400,SEXUAL ASSAULT,63,M,Knife,Violent Crime,18,No,,
10885,2021-03-31,2021-03-29,05:39,Delhi,441,FRAUD,50,F,Poison,Other Crime,12,No,,
10886,2021-03-30,2021-03-29,01:55,Lucknow,172,ROBBERY,27,F,Knife,Violent Crime,3,Yes,2021-05-22,23:00
10887,2021-03-30,2021-03-29,04:31,Visakhapatnam,109,HOMICIDE,59,F,Explosives,Other Crime,7,No,,
10888,2021-04-01,2021-03-29,05:23,Bhopal,190,DRUG OFFENSE,72,M,Other,Other Crime,4,No,,
10889,2021-03-31,2021-03-29,19:45,Mumbai,285,FRAUD,48,F,None,Other Crime,13,No,,
10890,2021-03-30,2021-03-29,00:46,Visakhapatnam,540,FIREARM OFFENSE,26,M,Other,Fire Accident,19,Yes,2021-06-09,15:00
10891,2021-03-29,2021-03-29,12:59,Kolkata,230,SEXUAL ASSAULT,46,M,Blunt Object,Violent Crime,19,No,,
10892,2021-03-31,2021-03-29,16:00,Bangalore,162,COUNTERFEITING,25,M,Explosives,Other Crime,17,No,,
10893,2021-03-31,2021-03-29,21:44,Ahmedabad,213,TRAFFIC VIOLATION,49,F,None,Traffic Fatality,2,Yes,2021-04-02,02:00
10894,2021-03-31,2021-03-29,04:30,Bangalore,135,DOMESTIC VIOLENCE,13,F,Blunt Object,Violent Crime,4,Yes,2021-05-12,10:00
10895,2021-03-30,2021-03-29,03:07,Kolkata,569,PUBLIC INTOXICATION,76,F,Poison,Other Crime,9,No,,
10896,2021-04-01,2021-03-29,11:46,Hyderabad,157,SEXUAL ASSAULT,67,M,Knife,Violent Crime,19,No,,
10897,2021-03-31,2021-03-30,12:11,Thane,449,DRUG OFFENSE,38,M,Firearm,Other Crime,8,No,,
10898,2021-04-01,2021-03-30,03:53,Faridabad,350,FRAUD,61,F,Explosives,Other Crime,18,No,,
10899,2021-03-31,2021-03-30,09:01,Mumbai,511,FIREARM OFFENSE,76,M,Firearm,Fire Accident,19,No,,
10900,2021-03-31,2021-03-30,19:06,Bangalore,590,DOMESTIC VIOLENCE,32,F,Other,Violent Crime,7,No,,
10901,2021-04-01,2021-03-30,10:25,Indore,242,COUNTERFEITING,26,F,None,Other Crime,13,No,,
10902,2021-04-02,2021-03-30,13:05,Kolkata,575,TRAFFIC VIOLATION,62,F,Other,Traffic Fatality,12,No,,
10903,2021-04-01,2021-03-30,04:09,Mumbai,320,HOMICIDE,78,F,Blunt Object,Other Crime,15,Yes,2023-01-13,07:00
10904,2021-03-30,2021-03-30,18:31,Hyderabad,472,ASSAULT,77,M,Explosives,Violent Crime,12,No,,
10905,2021-03-31,2021-03-30,23:30,Jaipur,306,SHOPLIFTING,31,F,Poison,Other Crime,14,No,,
10906,2021-04-01,2021-03-30,06:07,Thane,220,SHOPLIFTING,10,M,Other,Other Crime,11,Yes,2021-06-23,19:00
10907,2021-04-02,2021-03-30,02:43,Kolkata,467,ARSON,22,F,Knife,Fire Accident,2,No,,
10908,2021-03-31,2021-03-30,13:39,Surat,222,VANDALISM,43,F,Poison,Other Crime,8,No,,
10909,2021-04-01,2021-03-30,11:55,Delhi,488,COUNTERFEITING,46,F,Firearm,Other Crime,8,No,,
10910,2021-03-31,2021-03-30,18:47,Lucknow,490,FRAUD,11,M,Knife,Other Crime,18,Yes,2021-04-16,03:00
10911,2021-03-31,2021-03-30,18:18,Ahmedabad,131,DRUG OFFENSE,43,F,Other,Other Crime,11,Yes,2021-04-26,16:00
10912,2021-03-31,2021-03-30,00:24,Lucknow,266,TRAFFIC VIOLATION,16,M,None,Traffic Fatality,6,Yes,2021-04-21,10:00
10913,2021-03-31,2021-03-30,23:59,Mumbai,387,VEHICLE - STOLEN,59,F,Knife,Violent Crime,6,Yes,2021-04-07,04:00
10914,2021-04-01,2021-03-30,03:59,Mumbai,423,BURGLARY,48,F,Poison,Other Crime,18,No,,
10915,2021-04-02,2021-03-30,04:31,Chennai,358,VEHICLE - STOLEN,30,M,Blunt Object,Violent Crime,3,Yes,2021-06-19,14:00
10916,2021-04-02,2021-03-30,13:46,Delhi,215,COUNTERFEITING,71,F,Firearm,Other Crime,12,Yes,2021-05-09,15:00
10917,2021-03-30,2021-03-30,15:08,Mumbai,488,HOMICIDE,77,F,None,Other Crime,15,Yes,2023-02-24,21:00
10918,2021-04-01,2021-03-30,01:44,Surat,390,ARSON,45,M,Other,Fire Accident,8,Yes,2021-06-16,13:00
10919,2021-04-01,2021-03-30,23:58,Ghaziabad,430,HOMICIDE,71,M,Other,Other Crime,17,Yes,2022-04-18,00:00
10920,2021-04-01,2021-03-30,02:25,Hyderabad,225,COUNTERFEITING,48,F,Firearm,Other Crime,11,No,,
10921,2021-04-01,2021-03-31,13:32,Delhi,287,VANDALISM,26,M,Blunt Object,Other Crime,5,Yes,2021-06-06,19:00
10922,2021-04-02,2021-03-31,11:07,Bhopal,418,SHOPLIFTING,27,F,Knife,Other Crime,2,No,,
10923,2021-04-01,2021-03-31,14:45,Pune,155,KIDNAPPING,12,F,Firearm,Other Crime,8,Yes,2021-05-02,20:00
10924,2021-04-02,2021-03-31,21:41,Delhi,339,PUBLIC INTOXICATION,37,M,Blunt Object,Other Crime,1,No,,
10925,2021-04-01,2021-03-31,15:26,Pune,256,PUBLIC INTOXICATION,75,F,Firearm,Other Crime,19,No,,
10926,2021-04-01,2021-03-31,05:03,Bangalore,214,ILLEGAL POSSESSION,15,M,Other,Other Crime,2,Yes,2021-04-30,04:00
10927,2021-03-31,2021-03-31,03:26,Ahmedabad,160,CYBERCRIME,36,M,Knife,Other Crime,8,Yes,2021-06-27,22:00
10928,2021-03-31,2021-03-31,12:13,Mumbai,436,FIREARM OFFENSE,20,M,Other,Fire Accident,9,Yes,2021-05-03,09:00
10929,2021-04-02,2021-03-31,06:42,Bangalore,322,ASSAULT,43,F,Blunt Object,Violent Crime,15,Yes,2021-06-09,13:00
10930,2021-04-01,2021-03-31,13:34,Chennai,303,PUBLIC INTOXICATION,73,F,Knife,Other Crime,7,Yes,2021-04-28,01:00
10931,2021-04-02,2021-03-31,21:23,Hyderabad,264,SHOPLIFTING,38,F,Other,Other Crime,6,Yes,2021-06-03,10:00
10932,2021-04-01,2021-03-31,22:39,Pune,499,ASSAULT,48,M,Explosives,Violent Crime,8,Yes,2021-06-12,09:00
10933,2021-04-01,2021-03-31,14:19,Ahmedabad,571,COUNTERFEITING,68,M,None,Other Crime,3,No,,
10934,2021-04-02,2021-03-31,23:02,Kolkata,336,FIREARM OFFENSE,53,F,None,Fire Accident,15,No,,
10935,2021-04-02,2021-03-31,19:31,Delhi,528,ROBBERY,28,F,None,Violent Crime,17,Yes,2021-07-24,15:00
10936,2021-04-02,2021-03-31,03:39,Kanpur,258,COUNTERFEITING,38,F,Firearm,Other Crime,10,Yes,2021-06-28,19:00
10937,2021-04-01,2021-03-31,18:45,Chennai,159,VEHICLE - STOLEN,35,F,Knife,Violent Crime,13,Yes,2021-06-27,04:00
10938,2021-04-01,2021-03-31,15:56,Patna,381,FRAUD,65,F,Poison,Other Crime,9,No,,
10939,2021-04-03,2021-03-31,19:54,Delhi,290,VANDALISM,13,F,Knife,Other Crime,15,No,,
10940,2021-04-03,2021-03-31,21:30,Hyderabad,117,ASSAULT,28,M,Other,Violent Crime,2,Yes,2021-06-13,03:00
10941,2021-04-03,2021-03-31,12:52,Delhi,589,TRAFFIC VIOLATION,67,M,Knife,Traffic Fatality,16,Yes,2021-04-30,19:00
10942,2021-04-02,2021-03-31,03:07,Delhi,277,KIDNAPPING,39,M,Poison,Other Crime,11,No,,
10943,2021-04-02,2021-03-31,20:07,Delhi,417,FIREARM OFFENSE,43,F,Other,Fire Accident,3,Yes,2021-04-11,13:00
10944,2021-04-01,2021-03-31,05:30,Pune,392,IDENTITY THEFT,31,M,Firearm,Violent Crime,12,No,,
10945,2021-04-02,2021-04-01,08:30,Delhi,431,ASSAULT,78,F,Firearm,Violent Crime,8,No,,
10946,2021-04-01,2021-04-01,11:54,Kolkata,308,FRAUD,17,F,Explosives,Other Crime,16,Yes,2021-05-21,16:00
10947,2021-04-02,2021-04-01,13:08,Chennai,231,BURGLARY,79,F,Knife,Other Crime,12,No,,
10948,2021-04-02,2021-04-01,02:30,Jaipur,428,HOMICIDE,41,M,None,Other Crime,11,Yes,2021-10-09,21:00
10949,2021-04-03,2021-04-01,19:34,Hyderabad,294,FIREARM OFFENSE,68,F,Explosives,Fire Accident,4,Yes,2021-06-03,09:00
10950,2021-04-03,2021-04-01,23:54,Mumbai,544,KIDNAPPING,54,M,Firearm,Other Crime,18,Yes,2021-04-21,08:00
10951,2021-04-04,2021-04-01,16:36,Hyderabad,366,FIREARM OFFENSE,14,F,Other,Fire Accident,5,No,,
10952,2021-04-02,2021-04-01,11:03,Pune,231,SEXUAL ASSAULT,36,F,Poison,Violent Crime,9,Yes,2022-02-25,00:00
10953,2021-04-02,2021-04-01,12:32,Bangalore,382,PUBLIC INTOXICATION,22,M,Other,Other Crime,17,No,,
10954,2021-04-01,2021-04-01,04:32,Chennai,198,SHOPLIFTING,50,M,Firearm,Other Crime,1,No,,
10955,2021-04-03,2021-04-01,11:19,Hyderabad,396,HOMICIDE,78,F,None,Other Crime,1,No,,
10956,2021-04-03,2021-04-01,03:20,Srinagar,115,CYBERCRIME,37,F,None,Other Crime,4,No,,
10957,2021-04-03,2021-04-01,02:11,Thane,238,DOMESTIC VIOLENCE,34,M,Poison,Violent Crime,7,No,,
10958,2021-04-02,2021-04-01,22:46,Delhi,158,COUNTERFEITING,19,F,None,Other Crime,12,Yes,2021-05-04,13:00
10959,2021-04-04,2021-04-01,06:37,Indore,339,ROBBERY,41,F,Firearm,Violent Crime,2,No,,
10960,2021-04-03,2021-04-01,23:24,Bangalore,374,PUBLIC INTOXICATION,49,F,Firearm,Other Crime,4,No,,
10961,2021-04-02,2021-04-01,05:08,Chennai,384,ASSAULT,26,M,Other,Violent Crime,3,No,,
10962,2021-04-03,2021-04-01,23:44,Pune,148,FRAUD,47,F,Poison,Other Crime,17,Yes,2021-05-01,21:00
10963,2021-04-03,2021-04-01,02:38,Srinagar,500,KIDNAPPING,71,F,Poison,Other Crime,1,Yes,2021-06-15,15:00
10964,2021-04-03,2021-04-01,07:10,Kanpur,140,DRUG OFFENSE,27,M,Explosives,Other Crime,8,No,,
10965,2021-04-03,2021-04-01,16:52,Kolkata,596,VANDALISM,19,F,Explosives,Other Crime,18,No,,
10966,2021-04-03,2021-04-01,00:11,Meerut,421,TRAFFIC VIOLATION,76,F,Knife,Traffic Fatality,6,Yes,2021-04-20,22:00
10967,2021-04-02,2021-04-01,19:12,Ahmedabad,135,ARSON,39,F,Other,Fire Accident,12,No,,
10968,2021-04-03,2021-04-01,00:35,Chennai,287,ROBBERY,37,F,Explosives,Violent Crime,12,No,,
10969,2021-04-03,2021-04-02,18:47,Chennai,356,FIREARM OFFENSE,38,F,Poison,Fire Accident,2,Yes,2021-04-20,05:00
10970,2021-04-03,2021-04-02,19:32,Thane,128,DOMESTIC VIOLENCE,28,F,Knife,Violent Crime,16,Yes,2021-04-28,19:00
10971,2021-04-03,2021-04-02,13:55,Thane,359,VEHICLE - STOLEN,70,F,Blunt Object,Violent Crime,9,No,,
10972,2021-04-02,2021-04-02,14:25,Indore,522,HOMICIDE,77,F,Firearm,Other Crime,19,Yes,2023-03-13,04:00
10973,2021-04-03,2021-04-02,03:41,Visakhapatnam,341,COUNTERFEITING,38,F,Explosives,Other Crime,5,No,,
10974,2021-04-03,2021-04-02,20:14,Varanasi,352,EXTORTION,23,F,Other,Other Crime,13,Yes,2021-04-17,03:00
10975,2021-04-04,2021-04-02,18:11,Bangalore,456,DOMESTIC VIOLENCE,10,F,Blunt Object,Violent Crime,5,No,,
10976,2021-04-03,2021-04-02,09:22,Pune,400,CYBERCRIME,51,M,Poison,Other Crime,14,Yes,2021-06-24,22:00
10977,2021-04-02,2021-04-02,19:42,Surat,331,VEHICLE - STOLEN,63,M,Poison,Violent Crime,8,No,,
10978,2021-04-04,2021-04-02,18:49,Vasai,356,EXTORTION,18,F,Firearm,Other Crime,3,Yes,2021-04-28,07:00
10979,2021-04-02,2021-04-02,12:22,Bangalore,176,HOMICIDE,56,M,Firearm,Other Crime,4,No,,
10980,2021-04-03,2021-04-02,11:45,Bhopal,548,ILLEGAL POSSESSION,45,M,Other,Other Crime,1,Yes,2021-04-19,17:00
10981,2021-04-05,2021-04-02,17:00,Hyderabad,525,SHOPLIFTING,20,F,None,Other Crime,16,Yes,2021-04-22,06:00
10982,2021-04-03,2021-04-02,16:19,Chennai,416,ILLEGAL POSSESSION,25,M,Explosives,Other Crime,15,No,,
10983,2021-04-02,2021-04-02,05:04,Visakhapatnam,117,ASSAULT,32,M,Blunt Object,Violent Crime,6,Yes,2021-04-29,19:00
10984,2021-04-04,2021-04-02,11:00,Bangalore,399,FRAUD,59,F,Explosives,Other Crime,5,No,,
10985,2021-04-03,2021-04-02,20:49,Ahmedabad,510,TRAFFIC VIOLATION,34,F,Poison,Traffic Fatality,3,Yes,2021-05-02,03:00
10986,2021-04-05,2021-04-02,16:59,Indore,347,TRAFFIC VIOLATION,13,F,Other,Traffic Fatality,6,No,,
10987,2021-04-03,2021-04-02,02:28,Kolkata,297,TRAFFIC VIOLATION,59,M,Knife,Traffic Fatality,18,No,,
10988,2021-04-03,2021-04-02,16:13,Agra,455,TRAFFIC VIOLATION,25,F,Knife,Traffic Fatality,7,Yes,2021-05-01,12:00
10989,2021-04-03,2021-04-02,06:04,Kolkata,221,DOMESTIC VIOLENCE,18,F,Knife,Violent Crime,5,No,,
10990,2021-04-03,2021-04-02,14:41,Delhi,357,DOMESTIC VIOLENCE,43,M,Firearm,Violent Crime,18,Yes,2021-05-13,01:00
10991,2021-04-05,2021-04-02,07:07,Hyderabad,238,DRUG OFFENSE,18,F,Blunt Object,Other Crime,2,No,,
10992,2021-04-05,2021-04-02,12:54,Mumbai,209,FRAUD,26,M,Firearm,Other Crime,18,No,,
10993,2021-04-03,2021-04-03,02:02,Ahmedabad,436,SEXUAL ASSAULT,31,M,Poison,Violent Crime,11,No,,
10994,2021-04-04,2021-04-03,11:06,Delhi,262,ILLEGAL POSSESSION,56,F,Blunt Object,Other Crime,12,Yes,2021-05-24,21:00
10995,2021-04-04,2021-04-03,13:34,Patna,331,FIREARM OFFENSE,53,F,Explosives,Fire Accident,12,No,,
10996,2021-04-05,2021-04-03,12:26,Agra,344,IDENTITY THEFT,69,F,Explosives,Violent Crime,11,No,,
10997,2021-04-03,2021-04-03,22:37,Delhi,246,ASSAULT,70,F,None,Violent Crime,14,No,,
10998,2021-04-04,2021-04-03,01:06,Delhi,539,TRAFFIC VIOLATION,22,F,Other,Traffic Fatality,10,No,,
10999,2021-04-05,2021-04-03,01:19,Mumbai,115,HOMICIDE,71,M,Knife,Other Crime,5,Yes,2022-09-27,02:00
11000,2021-04-03,2021-04-03,02:38,Bangalore,558,SHOPLIFTING,21,F,None,Other Crime,10,No,,
11001,2021-04-05,2021-04-03,07:10,Chennai,330,KIDNAPPING,28,F,Poison,Other Crime,8,Yes,2021-05-25,07:00
11002,2021-04-06,2021-04-03,20:45,Bangalore,424,IDENTITY THEFT,47,F,Explosives,Violent Crime,1,No,,
11003,2021-04-03,2021-04-03,17:47,Jaipur,225,ROBBERY,65,F,Blunt Object,Violent Crime,3,Yes,2021-07-29,13:00
11004,2021-04-04,2021-04-03,17:44,Rajkot,253,PUBLIC INTOXICATION,53,F,Firearm,Other Crime,7,No,,
11005,2021-04-06,2021-04-03,20:15,Ludhiana,244,DOMESTIC VIOLENCE,21,F,Explosives,Violent Crime,4,No,,
11006,2021-04-05,2021-04-03,10:29,Bangalore,547,DOMESTIC VIOLENCE,68,M,Other,Violent Crime,2,No,,
11007,2021-04-04,2021-04-03,02:58,Visakhapatnam,382,BURGLARY,43,M,Firearm,Other Crime,18,Yes,2021-07-22,12:00
11008,2021-04-05,2021-04-03,04:16,Mumbai,329,BURGLARY,53,F,Poison,Other Crime,2,No,,
11009,2021-04-05,2021-04-03,19:41,Delhi,514,VEHICLE - STOLEN,43,F,Explosives,Violent Crime,16,Yes,2021-04-12,22:00
11010,2021-04-04,2021-04-03,16:23,Bangalore,514,BURGLARY,21,F,Knife,Other Crime,17,Yes,2021-08-06,03:00
11011,2021-04-06,2021-04-03,04:55,Kanpur,128,ASSAULT,22,F,Explosives,Violent Crime,14,No,,
11012,2021-04-04,2021-04-03,21:42,Hyderabad,135,DRUG OFFENSE,65,F,None,Other Crime,11,No,,
11013,2021-04-04,2021-04-03,03:13,Chennai,134,ARSON,10,F,None,Fire Accident,9,Yes,2021-05-11,16:00
11014,2021-04-06,2021-04-03,16:17,Mumbai,482,DRUG OFFENSE,73,F,None,Other Crime,4,No,,
11015,2021-04-04,2021-04-03,10:02,Lucknow,267,ARSON,30,F,Knife,Fire Accident,14,No,,
11016,2021-04-06,2021-04-03,13:10,Kolkata,515,BURGLARY,28,F,Blunt Object,Other Crime,18,Yes,2021-09-21,03:00
11017,2021-04-06,2021-04-04,11:47,Visakhapatnam,137,ROBBERY,13,M,Poison,Violent Crime,18,No,,
11018,2021-04-06,2021-04-04,02:01,Bangalore,190,PUBLIC INTOXICATION,20,M,Explosives,Other Crime,15,Yes,2021-04-24,02:00
11019,2021-04-04,2021-04-04,18:20,Jaipur,280,VANDALISM,41,M,Poison,Other Crime,19,Yes,2021-07-02,10:00
11020,2021-04-06,2021-04-04,17:42,Nashik,490,FRAUD,34,M,Other,Other Crime,10,Yes,2021-05-30,17:00
11021,2021-04-04,2021-04-04,01:24,Chennai,497,SEXUAL ASSAULT,31,M,None,Violent Crime,6,No,,
